Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	50.910946	17.315788	171.39995	38.100235	61.0	-0.07703771	0.08746698	0.20079045	-0.35366768	4000	1.579523e-08	656.21014	-0.008125139	-225.78574	0.9189385	0.0049710483	0.0475	79.0	5.304771184921265
1	50.568405	9.73058	94.92678	40.102123	60.734375	7.2732735	2.4386475	8.62535	-5.8402085	8000	2.5629998e-08	420.47775	-0.009104318	-205.00813	0.91846997	0.007011297	0.0765	79.0	9.829656600952148
2	55.531353	21.920258	206.85678	41.155838	65.2459	9.903894	7.3055463	14.816928	-12.142954	12000	-1.4305115e-09	339.36642	-0.012316871	-114.85469	0.9099755	0.0058590947	0.08225	79.0	18.085526704788208
3	65.91726	35.153164	211.58255	44.40579	74.71698	14.253416	8.413631	20.17081	-7.2394257	16000	4.9471854e-08	460.08878	-0.012776779	-130.44196	0.896398	0.007232824	0.09775	79.0	26.64690089225769
4	84.45105	48.90124	198.78842	46.434586	91.51163	19.185446	10.237184	25.97542	-12.426301	20000	-3.528595e-08	616.3856	-0.018086173	-181.52817	0.9056367	0.0077388342	0.104	79.0	39.02353382110596
5	95.87955	57.25262	206.52762	47.398643	101.73684	24.261879	12.083401	32.574955	-7.122867	24000	-1.8656253e-08	618.1451	-0.016765123	-181.32578	0.8807988	0.0123138	0.10975	79.0	47.20414590835571
6	155.5313	63.48552	221.42528	55.025646	154.8	31.72121	12.749408	39.027134	-8.931288	28000	-6.7949294e-08	802.8755	-0.015540209	-274.708	0.8755884	0.010848829	0.08125	79.0	51.78033900260925
7	186.40971	50.799732	279.25443	54.10427	181.95238	37.667675	14.900016	46.574516	-6.7972655	32000	-6.604195e-08	690.1731	-0.015186104	-249.974	0.8861156	0.0104783615	0.09275	79.0	56.62805390357971
8	223.8412	23.873672	274.18604	194.93388	213.88889	45.673958	14.644868	53.17775	-9.583214	36000	-3.671646e-08	612.7193	-0.019662352	-214.95932	0.890741	0.010538586	0.1065	79.0	61.549306869506836
9	243.0733	24.460781	274.25543	202.08734	229.35294	50.63372	17.433811	59.14941	-53.442482	40000	-3.051758e-08	546.7164	-0.018023064	-179.95328	0.89578825	0.008590813	0.10975	79.0	65.93220782279968
10	247.381	38.76822	274.8375	146.00822	232.47058	53.129494	19.260931	64.341415	-24.03494	44000	-1.2159347e-08	513.4721	-0.016114598	-182.88953	0.9059453	0.011214102	0.09275	79.0	71.09185910224915
11	247.03564	51.44161	278.79358	78.903465	231.76471	57.189304	19.638338	68.51222	-32.29612	48000	-1.3887882e-08	464.49152	-0.014124822	-130.16782	0.912866	0.00992351	0.08375	79.0	75.7172200679779
12	272.57	2.7222042	276.97748	266.23325	252.73334	60.93533	18.17625	72.05208	-34.521965	52000	-4.172325e-09	499.341	-0.01253616	-143.42871	0.91093147	0.0057209604	0.0705	79.0	79.98580956459045
13	270.51352	15.61156	277.09705	212.37682	251.13333	63.030212	20.982805	75.18847	-22.942616	56000	-1.4305115e-09	407.89374	-0.015390665	-88.11716	0.9028603	0.008534787	0.087	79.0	85.32848525047302
14	274.4196	2.371717	278.3911	269.33545	254.06667	67.3541	20.085289	78.04126	-26.49842	60000	2.7418137e-08	361.16675	-0.009780209	-86.25296	0.88672006	0.004950039	0.09425	79.0	89.62911057472229
15	273.82526	4.036076	280.51718	265.6544	253.6	66.360374	21.35507	80.46484	-19.936993	64000	6.9141386e-09	321.45435	-0.008968792	-40.887207	0.89595604	0.00836958	0.09325	79.0	93.9217460155487
16	275.99606	2.735701	279.51584	270.4678	255.26666	67.15066	23.315277	82.54839	-16.108427	68000	1.4901161e-09	293.87405	-0.01084998	-34.898956	0.9010748	0.008912205	0.12525	79.0	99.37434840202332
17	275.3754	4.6697345	280.81216	259.97076	254.93333	65.90789	25.663994	84.00372	-19.815111	72000	7.629395e-09	254.34077	-0.010302761	-52.618057	0.88056225	0.010685707	0.073	79.0	103.72821283340454
18	277.39328	4.3609996	285.65988	266.79434	256.53333	68.694466	25.212698	84.9879	-35.52973	76000	-2.861023e-09	249.99672	-0.007834542	-25.10144	0.887361	0.008422408	0.06925	79.0	108.10197257995605
19	278.037	1.7816142	280.60626	274.49875	256.93332	70.50793	25.216108	85.74277	-14.858702	80000	-1.4305115e-09	172.23985	-0.0094195735	-49.207672	0.87917227	0.008795837	0.103	79.0	113.56644916534424
20	269.25244	21.83266	282.82364	193.90466	249.9375	67.982376	26.221472	86.989265	-13.563487	84000	-4.887581e-09	269.92972	-0.01215719	-68.0202	0.86686456	0.011362911	0.08325	79.0	117.98917603492737
21	267.62692	24.0602	281.9608	185.49161	248.6875	70.32075	25.567282	87.1856	-19.125656	88000	-6.9141386e-09	263.29196	-0.011269983	-82.07945	0.8537183	0.008572843	0.0715	79.0	122.79490518569946
22	276.23477	2.9810326	280.57562	267.8443	255.53334	70.79907	23.355806	87.44944	-15.441616	92000	6.7353247e-09	255.18285	-0.010194131	-59.95529	0.85336626	0.005658704	0.09125	79.0	127.67824363708496
23	276.09784	2.5669167	280.71674	271.78317	255.4	72.06563	25.028822	87.86468	-13.530915	96000	-8.434057e-09	298.1948	-0.0071413675	-28.74646	0.8405669	0.0025332875	0.06225	79.0	132.01701378822327
24	277.8115	3.1352258	282.8164	271.735	256.73334	68.84241	25.677454	87.964516	-16.090721	100000	-1.525879e-08	166.74626	-0.010666241	-27.322678	0.84332794	0.0076316586	0.09275	79.0	137.24920439720154
25	279.2309	3.0678685	285.6168	274.38168	257.93332	70.35325	26.458061	88.911095	-12.469506	104000	-4.053116e-09	165.76245	-0.0078303665	-26.733322	0.84263664	0.009537811	0.08325	79.0	142.3764488697052
26	278.58527	3.7554746	285.41257	271.58	257.53333	68.882904	27.352169	89.73461	-15.002845	108000	-8.940697e-09	190.48436	-0.009710254	-42.247772	0.8430987	0.0098431045	0.09975	79.0	146.77429366111755
27	278.17126	2.312364	280.7082	271.96844	257.06668	72.71314	25.747995	90.0862	-15.960994	112000	-6.198883e-09	243.28436	-0.0062195063	-28.528778	0.829288	0.008168578	0.0755	79.0	152.042334318161
28	278.71484	3.5111706	284.3502	274.3559	257.46667	70.3183	26.0564	89.94374	-19.070158	116000	7.033348e-09	234.82031	-0.007234116	-22.05243	0.8265863	0.0070341476	0.08025	79.0	156.59096574783325
29	279.34714	1.8424916	281.9737	275.68353	257.93332	71.74567	25.321598	90.20451	-14.434864	120000	-1.525879e-08	200.51688	-0.008376481	-33.5224	0.8124834	0.0055461833	0.0745	79.0	160.9896125793457
30	279.1391	1.6013042	283.0104	276.91153	257.8	69.81656	26.521425	90.745605	-11.410207	124000	1.9073487e-09	158.88551	-0.010253068	-42.220993	0.8086076	0.0067699067	0.0815	79.0	166.24288988113403
31	275.2994	2.8720908	280.6755	270.22214	254.86667	70.20417	26.270618	91.32717	-11.087629	128000	2.5629998e-09	253.48747	-0.008817214	-93.32303	0.796405	0.00446283	0.076	79.0	171.72429609298706
32	276.50305	3.5289903	284.1964	270.35016	255.73334	71.20181	26.375366	90.929634	-12.698962	132000	-4.768372e-10	244.14761	-0.0069873147	-44.717422	0.7955559	0.0040375036	0.076	79.0	177.0912368297577
33	276.3324	2.7221677	280.6525	270.62112	255.6	71.392365	25.216396	91.44668	-14.869944	136000	1.5497208e-09	207.93286	-0.010759104	-40.29715	0.7846335	0.0073406613	0.10075	79.0	181.63316226005554
34	277.00882	3.1545198	283.12405	271.229	256.2	70.19127	25.254679	92.283295	-18.286697	140000	1.0967255e-08	250.21675	-0.0126813715	-60.9644	0.77637696	0.010225143	0.1025	79.0	186.02488493919373
35	276.9879	2.230128	280.48453	271.6485	256.13333	69.43247	25.5032	92.60638	-12.370611	144000	8.8214875e-09	188.37415	-0.008809604	-36.08171	0.78427935	0.012557097	0.0945	79.0	191.450697183609
36	277.96515	3.0810654	284.39578	272.6748	257.0	69.52697	26.982607	93.12351	-24.298573	148000	-9.059906e-09	226.4717	-0.0066873715	-59.928574	0.7855731	0.008970808	0.062	79.0	195.8422281742096
37	280.18112	2.3341355	284.17657	275.33862	258.73334	70.0947	26.728188	93.574745	-19.203093	152000	-1.9073487e-09	128.66556	-0.010226023	-34.23394	0.7805354	0.0056022033	0.08275	79.0	200.3598084449768
38	279.83282	4.127672	286.9007	272.887	258.46667	70.64221	27.548832	94.47618	-13.853931	156000	-8.106232e-09	142.16905	-0.0046032635	-29.699066	0.7731505	0.01586939	0.17275	5.0	205.1280117034912
39	278.0052	2.3742979	282.98285	274.09628	257.06668	72.772026	27.428263	94.83039	-16.312628	160000	-4.768372e-10	215.69638	-0.009110066	-53.953506	0.772233	0.004034449	0.075	79.0	209.4890160560608
40	278.4739	2.5070746	283.22168	275.2797	257.4	71.53557	26.57605	94.45596	-15.101816	164000	4.172325e-09	148.27391	-0.010573158	-24.369629	0.7603383	0.0065590395	0.093	79.0	213.99714612960815
41	279.70844	2.4543762	283.2947	275.55707	258.33334	70.439766	27.058907	94.8248	-13.109297	168000	6.7949295e-09	132.46475	-0.010735139	-28.146042	0.74817014	0.011657571	0.0975	79.0	219.54282784461975
42	280.94858	2.1710126	285.52927	277.72217	259.33334	71.13607	27.667152	95.61938	-14.315878	172000	-8.225441e-09	105.34189	-0.009605689	-13.240234	0.727139	0.010506453	0.0975	79.0	224.34336590766907
43	281.36456	1.5952479	285.23868	278.1683	259.73334	69.57778	28.8108	95.96031	-13.524262	176000	-1.2874604e-08	95.665794	-0.009931095	-18.598183	0.7092071	0.0065912735	0.08875	79.0	229.2684144973755
44	279.2586	2.584985	283.96207	274.36594	258.0	73.150764	26.434465	96.55549	-26.715057	180000	2.1457671e-09	141.43408	-0.0017212075	-39.695236	0.70984083	0.018113747	0.21175	3.0	233.60678601264954
45	281.29755	2.5490835	284.33316	276.74057	259.6	69.45695	27.763515	96.76269	-22.098766	184000	5.2452087e-09	148.96259	-0.01013974	-43.253212	0.7096295	0.011534425	0.10575	79.0	238.08598566055298
46	282.41003	2.748812	288.1272	276.7565	260.46667	71.63384	27.67456	97.09168	-17.657255	188000	-1.180172e-08	91.5337	-0.01116795	-26.39917	0.7215222	0.008412846	0.11175	79.0	242.9593687057495
47	281.5467	1.9106119	285.66702	277.97238	259.73334	72.157364	28.335274	97.951805	-18.886148	192000	0.0	102.32052	-0.012654675	-34.794266	0.7240543	0.010505954	0.118	79.0	247.84219002723694
48	281.62616	3.33468	289.4627	275.65146	259.8	70.77647	28.369747	97.72071	-17.9468	196000	7.629395e-09	83.855	-0.011525629	-15.648895	0.7210151	0.0075717717	0.10875	79.0	252.25787782669067
49	281.74283	2.0079374	285.6399	276.8296	259.86667	71.8785	27.98811	98.09332	-13.362858	200000	-3.8146974e-09	99.8292	-0.011093144	-15.075829	0.7038296	0.007960719	0.10575	79.0	257.8495614528656
50	282.09506	2.091043	285.7599	278.2242	260.13333	70.15402	28.01294	98.46025	-15.67455	204000	1.1444092e-08	113.848045	-0.0039435253	-21.671501	0.68843216	0.015230163	0.2235	3.0	261.5976302623749
